Abelia chinensis var. ionandra;たいわんつくばねうつぎ;台湾衝羽根空木
Titanotrichum oldhamii;まつむらそう;松村草
Tithonia rotundiflora;チトニア;メキシコ向日葵
Tofieldia japonica;いわしょうぶ;岩菖蒲
Tofieldia nuda;はなぜきしょう;花石菖
Tolmiea menziesii;トルミエア・メンジエシー;
Torenia concolor var. formosa;つるうりくさ;蔓瓜草
Torenia founieri;トレニア;花瓜草
Torilis japonica;やぶじらみ;藪虱
Torilis scabra;おやぶじらみ;雄藪虱
Torreya nucifera;かや;榧
Townsendia formosa;タウンセンディア・フォルモーサ;
Trachelospermum asiaticum;ていかかずら;定家葛
Trachelospermum difforme;アメリカていかかずら;アメリカ定家葛
Trachelospermum jasminoides var. pubescens;けていかかずら;毛定家葛
Trachycarpus fortunei;しゅろ;棕櫚
Trachycarpus wagnerianus;とうじゅろ;唐棕櫚
Trachymene coerulea;ブルーレースフラワー;
Tradescantia fluminensis;ときわつゆくさ;常磐露草
Tradescantia gigantea;トラデスカンティア・ギガンテア;
Tradescantia occidentalis;トラデスカンティア・オクキデンタリス;
Tradescantia sillamontana;トラデスカンティア・シラモンタナ;
Tradescantia sp.;むらさきつゆくさ;紫露草
Tradescantia zanonia;トラデスカンティア・ザノニア;
Tragopogon dubius;ふとえバラモンぎく;太柄婆羅門菊
Tragopogon pratensis;きばなむぎなでしこ;黄花麦撫子
Trametes versicolor;かわらたけ;瓦茸
Trapa japonica;ひし;菱
Trapa natans var. rubeola f. viridis;おにびし;鬼菱
Trapella sinensis;ひしもどき;菱擬き
Trautvetteria caroliniensis var. japonica;もみじからまつ;紅葉落葉松
Trevesia palmata;トレウェシア・パルマータ;
Triadenum japonicum;みずおとぎり;水弟切
Tribulus terrestris;はまびし;浜菱
Trichosanthes anguina;へびうり;蛇瓜
Trichosanthes cucumeroides;からすうり;烏瓜
Trichosanthes kirilowii var. japonica;きからすうり;黄烏瓜
Tricyrtis affinis;やまじのほととぎす;山路の杜鵑
Tricyrtis formosana;たいわんほととぎす;台湾杜鵑
Tricyrtis hirta;ほととぎす;杜鵑
Tricyrtis hirta f. slbescens;しろほととぎす;白杜鵑
Tricyrtis latifolia;たまがわほととぎす;玉川杜鵑
Tricyrtis macranthopsis;きいじょうろうほととぎす;紀伊上臈杜鵑
Tricyrtis macropoda;やまほととぎす;山杜鵑
Tricyrtis ohsumiensis;たかくまほととぎす;高隈杜鵑
Trientalis europaea;つまとりそう;褄取草
Trifolium alpinum;トリフォリウム・アルピヌム;
Trifolium arvense;しゃぐまはぎ;赤熊萩
Trifolium badium;トリフォリウム・バディウム;
Trifolium burchellianum;カトレアクローバー;
Trifolium campestre;くすだまつめくさ;薬玉詰草
Trifolium dubium;こめつぶつめくさ;米粒詰草
Trifolium incarnatum;べにばなつめくさ;紅花詰草
Trifolium lupinaster;しゃじくそう;車軸草
Trifolium pannonicum;ハンガリアンクローバー;
Trifolium pratense;むらさきつめくさ;紫詰草
Trifolium repens;しろつめくさ;白詰草
Trifolium repens cv. William;チョコレートクローバー;
Trifolium rubens;トリフォリウム・ルーベンス;
Triglochin maritinum;しばな;塩場菜
Trigonotis brevipes;みずたびらこ;水田平子
Trigonotis guilielmi;たちかめばそう;立ち亀葉草
Trigonotis peduncularis;きゅうりぐさ;胡瓜草
Trillium cuneatum;アメリカえんれいそう;アメリカ延齢草
Trillium grandiflorum;トリリウム・グランディフロルム;
Trillium kamtschaticum;おおばなのえんれいそう;大花の延齢草
Trillium ovatum;トリリウム・オワァツム;
Trillium smallii;えんれいそう;延齢草
Trillium tschonoskii;しろばなえんれいそう;白花延齢草
Triplaris cumingiana;トリプラリス・クミンギアナ;
Triplaris sp.;トリプラリス;
Tripterospermum japonicum;つるりんどう;蔓竜胆
Tristaniopsis laurina;トリスタニオプシス・ラウリナ;
Tristellateia australasiae;こうしゅんかずら;恒春葛
Triteleia bridgesii;トリテレイア・ブリッジェシー;
Triteleia hyacinthina;トリテレイア・ヒアシンシナ;
Triteleia ixioides;トリテレイア・イクシオイデス;
Triteleia laxa;トリテレイア・ラクサ;
Triticum aestivum;こむぎ;小麦
Trochodendron aralioides;やまぐるま;山車
Trollius europaeus;せいようきんばいそう;西洋金梅草
Trollius riederianus var. japonicus;しなのきんばい;信濃金梅
Tropaeolum majus;きんれんか;金蓮花
Tropaeolum tricolor;トロパエオルム・トリコロル;
Trypterygium regelii;くろづる;黒蔓
Tsuga canadensis;カナダつが;栂
Tsuga canadensis var. pendula;しだれカナダつが;枝垂れカナダ栂
Tsuga diversifolia;こめつが;米栂
Tsuga heterophylla;アメリカつが;アメリカ栂
Tsuga sieboldii;つが;栂
Tulbaghia fragrans;ツルバギア・フラグランス;
Tulbaghia violacea;ツルバギア・ビオラケア;
Tulipa bakeri;ツーリパ・バッケリー;
Tulipa batalinii;ツーリパ・バタリニー;
Tulipa clusiana var. chrysantha;ツーリパ・クリサンタ;
Tulipa gesneriana;チューリップ;鬱金香
Tulipa hageri;ツーリパ・ハゲリ;
Tulipa humilis var. violacea;ツーリパ・ウィオラケア;
Tulipa kaufmanniana;ツーリパ・カウフマニアナ;
Tulipa linifolia;ツーリパ・リニフォリア;
Tulipa maximowiczii;ツーリパ・マキシモビッチ;
Tulipa neustreuvae;ツーリパ・ネウストレウバエ;
Tulipa polychroma;ツーリパ・ポリクロマ;
Tulipa pulchella;ツーリパ・プルケラ;
Tulipa tarda;ツーリパ・タルダ;
Tulipa turcestanica;ツーリパ・ツルケスタニカ;
Tulipa vvedenskyi;ツーリパ・ブベジェンスキー;
Turnera ulmifolia;ツルネラ・ウルミフォリア;
Tussilago farfara;ふきたんぽぽ;蕗蒲公英
Tylopilus virens;みどりにがいぐち;緑苦猪口
Typha angustifolia;ひめがま;姫蒲
Typha latifolia;がま;蒲
Typha orientalis;こがま;小蒲
Typhonodorum lindleyanum;ティフォノドルム・リンドレイアヌム;
Ulex gallii;ウェスタンゴース;
Ulmus davidiana var. japonica;はるにれ;春楡
Ulmus parvifolia;あきにれ;秋楡
Ulva;あおさ;石蓴
Ungnadia speciosa;メキシカンバックアイ;
Urginea maritima;かいそう;海葱
Urtica dioica;せいよういらくさ;西洋刺草
Urtica thumbergiana;いらくさ;刺草
Usnea longissima;ながさるおがせ;長猿尾枷
Utricularia gibba;おおばないとたぬきも;大花糸狸藻
Utricularia nelumbifolia;ウトリクラリア・ネルンビフォリア;
Utricularia reniformis;ウトリクラリア・レニフォルミス;
Utricularia sandersonii;ウトリクラリア・サンデルソニイ;
Utricularia vulgaris var. japonica;たぬきも;狸藻
Vaccinium bracteatum;しゃしゃんぼ;小小ん坊
Vaccinium cv.;サザンハイブッシュブルーベリー;
Vaccinium hirtum var. pubescens;うすのき;臼の木
Vaccinium macrocarpon;おおみつるこけもも;大実蔓苔桃
Vaccinium myrtillus;ビルベリー;
Vaccinium nummularia;ウァッキニウム・ヌンムラリア;
Vaccinium oldhamii;なつはぜ;夏黄櫨
Vaccinium ovalifolium;くろうすご;黒臼子
Vaccinium oxycoccus;つるこけもも;蔓苔桃
Vaccinium shikokianum;まるばうすご;丸葉臼子
Vaccinium smallii;おおばすのき;大葉酢の木
Vaccinium smallii var. glabrum;すのき;酢の木
Vaccinium sp.;ブルーベリー;
Vaccinium uliginosum;くろまめのき;黒豆の木
Vaccinium virgatum;ラビッドアイブルーベリー;
Vaccinium vitis-idaea;こけもも;苔桃
Vaccinium yatabei;ひめうすのき;姫臼の木
Valeriana acutiloba;バレリアナ・アクティロバ;
Valeriana fauriei;かのこそう;鹿子草
Valeriana flaccidissima;つるかのこそう;蔓鹿子草
Valeriana officinalis;せいようかのこそう;西洋鹿の子草
Valeriana pyrenaica;バレリアナ・ピレナイカ;
Valeriana sp.;からふとはるおみなえし;春女郎花
Valeriana supina;バレリアナ・スピナ;
Valeriana tripteris;バレリアナ・トリプテリス;
Valerianella locusta;マーシュ;野苣
Vallisneria natans var. biwaensis;ねじれも;捩れ藻
Vancouveria hexandra;インサイドアウトフラワー;
Vanda coerulescens;バンダ・コエルレスケンス;
Vanda lamellata;バンダ・ラメラータ;紅頭翡翠蘭
Vanda sp.;バンダ;
Vanilla fragrans;バニラ;
Vcola acuminata;コーラのき;コーラの木
Veitchia merrillii;マニラやし;マニラ椰子
Veltheimia capensis;フェルトハイミア・カペンシス;
Venidium fastuosum;ベニジウム;寒咲き蛇の目菊
Veratrum album;ウェラトルム・アルブム;
Veratrum album ssp. oxysepalum;ばいけいそう;梅恵草
Veratrum californicum;カリフォルニアばいけいそう;カリフォルニア梅恵草
Veratrum maackii var. maackii;ほそばしゅろそう;細葉棕櫚草
Veratrum maackii var. parviflorum;あおやぎそう;青柳草
Veratrum stamineum;こばいけいそう;小梅恵草
Veratrum stamineum var. micranthum;みかわばいけいそう;三河梅恵草
Verbascum chaixii;ウェルバスクム・カイキイ;
Verbascum olympicum;ウェルバスクム・オリンピクム;
Verbascum thapsus;ビロードもうずいか;天鵞絨毛蕊花
Verbena bipinnatifida;プレーリーバーベナ;
Verbena bonariensis;やなぎはながさ;柳花笠
Verbena brasiliensis;あれちはながさ;荒れ地花笠
Verbena hastata;バーベナ・ハスタータ;
Verbena incompta;だきばあれちはながさ;抱き葉荒れ地花笠
Verbena officinalis;くまつづら;熊葛
Verbena peruviana;バーベナ・ペルウィアナ;
Verbena rigida;バーベナ・リギダ;宿根バーベナ
Verbena tenuisecta;バーベナ・テヌイセクタ;唐草花笠
Verbena x hybrida;バーベナ;
Verbena x hybrida cv. Hanademari;はなてまり;花手毬
Verbesina virginica;ウェルベシナ・ウィルギニカ;
Veronica aphylla;ベロニカ・アフィルラ;
Veronica arvensis;たちいぬのふぐり;立犬の陰嚢
Veronica austriaca;ベロニカ・アウストリアカ;
Veronica austriaca ssp. teucrium;ベロニカ・テウクリウム;
Veronica chamaedrys;からふとひよくそう;樺太比翼草
Veronica cv. Waterperry Blue;ベロニカ・ウォーターペリーブルー;
Veronica fruticans;ベロニカ・フルティカンス;
Veronica fruticulosa;ベロニカ・フルティクローサ;
Veronica gentianoides;ベロニカ・ゲンチアノイデス;
Veronica grandiflora;しゅむしゅくわがた;占守鍬形
Veronica japonensis;やまくわがた;山鍬形
Veronica melissaefolia;ひよくそう;比翼草
Veronica miqueliana;くわがたそう;鍬形草
Veronica onoei;ぐんばいづる;軍配蔓
Veronica peduncularis;ベロニカ・ペドゥンクラリス;
Veronica persica;おおいぬのふぐり;大犬の陰嚢
Veronica prostrata;ベロニカ・プロストラータ;
Veronica serpyllifolia ssp. humifusa;てんぐくわがた;天狗鍬形
Veronica spicata;ベロニカ・スピカータ;
Veronica undulata;かわぢしゃ;川苣
Veronicastrum axillare;とらのおすずかけ;虎の尾鈴懸
Veronicastrum sibiricum ssp. japonicum;くがいそう;九蓋草
Veronicastrum tagawae;きのくにすずかけ;紀国鈴掛
Veronicastrum villosulum;すずかけそう;鈴懸草
Verschaffeltia splendida;ウェルスカフェルティア・スプレンディダ;
Viburnum carlesii var. carlesii;おおちょうじがまずみ;大丁子がまずみ
Viburnum dasyanthum;ビブルヌム・ダジアンツム;
Viburnum dilatatum;がまずみ;
Viburnum erosum var. punctatum;こばのがまずみ;小葉のがまずみ
Viburnum furcatum;おおかめのき;大亀の木
Viburnum japonicum;はくさんぼく;白山木
Viburnum macrocephalum;ムーシュウチュウ;木綉球
Viburnum macrocephalum f. keteleeri;けいか;瓊花
Viburnum odoratissimum var. awabuki;さんごじゅ;珊瑚樹
Viburnum opulus var. calvescens;かんぼく;肝木
Viburnum phlebotrichum;おとこようぞめ;男ようぞめ
Viburnum plicatum f. plicatum;おおでまり;大手毬
Viburnum plicatum var. plicatum f. glabrum;けなしやぶでまり;毛無し藪手毬
Viburnum plicatum var. tomentosum;やぶでまり;藪手毬
Viburnum prunifolium;ブラックホー;
Viburnum rhytidophyllum;ビブルヌム・リチドフィルム;
Viburnum rufidulum;サザンブラックホー;
Viburnum setigerum;ビブルヌム・セティゲルム;
Viburnum sieboldii;ごまぎ;胡麻木
Viburnum suspensum;ごもじゅ;御門樹
Viburnum tinus;ビブルヌム・ティヌス;
Viburnum trilobum;アメリカかんぼく;アメリカ肝木
Viburnum uceolatum f. procumbens;みやましぐれ;深山しぐれ
Viburnum wrightii;みやまがまずみ;深山がまずみ
Vicia amoena;つるふじばかま;蔓藤袴
Vicia angustifolia;からすのえんどう;烏野豌豆
Vicia cracca;しろばなくさふじ;白花草藤
Vicia cracca;くさふじ;草藤
Vicia faba;そらまめ;空豆
Vicia hirsuta;すずめのえんどう;雀野豌豆
Vicia japonica;ひろはくさふじ;広葉草藤
Vicia pseudo-orobus;おおばくさふじ;大葉草藤
Vicia sepium;いぶきのえんどう;伊吹野豌豆
Vicia tetrasperma;かすまぐさ;かす間草
Vicia unijuga;なんてんはぎ;南天萩
Vicia villosa;ビロードくさふじ;天鵞絨草藤
Victoria cruziana;パラグアイおにばす;パラグアイ鬼蓮
Victoria regia;おおおにばす;大鬼蓮
Vigna angularis;あずき;小豆
Vigna angularis;くろあずき;黒小豆
Vigna angularis var, nipponensis;やぶつるあずき;藪蔓小豆
Vigna caracalla;ビグナ・カラカラ;
Vigna unguiculata;ささげ;大角豆
Vigna unguiculata var. sesquipedalis;じゅうろくささげ;十六大角豆
Viguiera cordifolia;ウィグイエラ・コルディフォリア;
Vilpia myuros;なぎなたがや;長刀茅
Vinca major;つるにちにちそう;蔓日々草
Viola acuminata;えぞのたちつぼすみれ;蝦夷の立ち坪菫
Viola adunca;ブルーバイオレット;
Viola alexandrowiana;ビオラ・アレクサンドロウィアナ;
Viola betonicifolia var. albescens;ありあけすみれ;有明菫
Viola biflora;きばなのこまのつめ;黄花の駒の爪
Viola bisseti;ながばのすみれさいしん;長葉の菫細辛
Viola boissieuana;ひめみやますみれ;姫深山菫
Viola brevistipulata;おおばきすみれ;大葉黄菫
Viola brevistipulata var. hidakana;えぞきすみれ;蝦夷黄菫
Viola brevistipulata var. kishidai;なえばきすみれ;苗場黄菫
Viola calcarata;ビオラ・カルカラータ;
Viola chaerophylloides var. chaerophylloides;なんざんすみれ;南山菫
Viola chaerophylloides var. sieboldiana;ひごすみれ;肥後菫
Viola confusa ssp. nagasakiensis;ひめすみれ;姫菫
Viola cv. Misuzu;みすずすみれ;美鈴菫
Viola eizanensis;えいざんすみれ;叡山菫
Viola glabella;ウッドバイオレット;
Viola grypoceras;たちつぼすみれ;立ち坪菫
Viola grypoceras f. pubescens;けたちつぼすみれ;毛立ち坪菫
Viola grypoceras f. variegata;あかふたちつぼすみれ;赤斑立ち坪菫
Viola grypoceras var. hichitoana;しちとうすみれ;七島菫
Viola hederacea;つたすみれ;蔦菫
Viola hirtipes;さくらすみれ;桜菫
Viola hondoensis;あおいすみれ;葵菫
Viola japonica;こすみれ;小菫
Viola keiskei;まるばすみれ;丸葉菫
